Project,Beaufort Sea 2008 and 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Mackenzie Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leader,Solomon Steve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lat,69.0457,68.8662,71.7441,69.3233,69.4752,69.4752,69.4582,69.347,69.3331,69.4582,69.3331,69.3327,69.5205,69.347,69.5205,69.4815,69.4495,69.4496,69.3801,69.3801,69.4496,69.4694,69.4534,69.4549,69.4549,69.4694,69.4936,69.4936,69.5051,69.5051,69.5299,69.5299,69.5226,69.5027,69.5027,69.4815,69.4683,69.4683,69.449,69.449,69.4387,69.4387,69.4323,69.4323,69.5259,69.5259,69.5171,69.5171,69.513,69.513,69.5124,69.5124,69.5045,69.5045,69.4683,69.4486,69.4486,69.513,69.4683,69.448,69.448,69.5092,69.5092,69.4793,69.4793,69.4606,69.4606,69.4506,69.4506
Long,-135.03,-135.8808,-135.7238,-135.6423,-136.0839,-136.0839,-135.9894,-135.6889,-135.655,-135.9894,-135.655,-135.6577,-136.2433,-135.6889,-136.2433,-136.0847,-135.8853,-135.9525,-135.34,-135.34,-135.9525,-136.0358,-135.9983,-135.8599,-135.8599,-136.0358,-136.1485,-136.1485,-136.1746,-136.1746,-136.2433,-136.2433,-136.2236,-136.1548,-136.1548,-136.0847,-136.0412,-136.0412,-135.9557,-135.9557,-135.9283,-135.9283,-135.915,-135.915,-136.2436,-136.2436,-136.2179,-136.2179,-136.2038,-136.2038,-136.2169,-136.2169,-136.1797,-136.1797,-136.0409,-135.9509,-135.9509,-136.2038,-136.0409,-135.9514,-135.9514,-136.1178,-136.1178,-136.0561,-136.0561,-135.9921,-135.9921,-135.953,-135.953
Time (GMT),19:40:00,16:51:00,18:55:00,19:00:00,20:50:00,21:34:00,21:44:00,22:30:00,23:39:00,20:28:00,21:30:00,19:20:00,1:20:00,22:53:00,20:00:00,22:27:00,19:21:00,19:19:00,17:19:00,17:19:00,19:19:00,23:06:00,22:36:00,21:49:00,21:49:00,23:06:00,16:48:00,16:48:00,18:06:00,18:06:00,20:17:00,20:17:00,20:07:00,22:16:00,22:16:00,22:27:00,22:36:00,22:36:00,22:51:00,22:51:00,23:18:00,23:18:00,23:32:00,23:32:00,18:26:00,18:26:00,18:47:00,18:47:00,18:46:00,18:56:00,19:21:00,19:21:00,19:38:00,19:38:00,20:11:00,20:32:00,20:32:00,18:56:00,20:11:00,15:42:00,15:42:00,23:03:00,23:03:00,23:26:00,23:26:00,23:34:00,23:34:00,23:46:00,23:46:00
Date,21-May-08,22-May-08,27-May-08,22-May-08,18-May-10,30-May-10,18-May-10,29-May-10,18-May-10,30-May-10,29-May-10,30-May-10,31-May-10,18-May-10,18-May-10,20-Aug-10,19-Aug-10,19-Aug-10,19-Aug-10,19-Aug-10,19-Aug-10,19-Aug-10,19-Aug-10,19-Aug-10,19-Aug-10,19-Aug-10,20-Aug-10,20-Aug-10,20-Aug-10,20-Aug-10,20-Aug-10,20-Aug-10,20-Aug-10,20-Aug-10,20-Aug-10,20-Aug-10,20-Aug-10,20-Aug-10,20-Aug-10,20-Aug-10,20-Aug-10,20-Aug-10,20-Aug-10,20-Aug-10,21-Aug-10,21-Aug-10,21-Aug-10,21-Aug-10,21-Aug-10,21-Aug-10,21-Aug-10,21-Aug-10,21-Aug-10,21-Aug-10,21-Aug-10,21-Aug-10,21-Aug-10,21-Aug-10,21-Aug-10,22-Aug-10,22-Aug-10,23-Aug-10,23-Aug-10,23-Aug-10,23-Aug-10,23-Aug-10,23-Aug-10,23-Aug-10,23-Aug-10
Event,-790,-797,-808,-803,-1225,-1257,-1226,-1248,-1229,-1256,-1247,-1255,-1258,-1228,-1224,-1307,-1295,-1293,-1292,-1292,-1293,-1300,-1291,-1296,-1296,-1300,-1301,-1301,-1303,-1303,-1304,-1304,-1305,-1306,-1306,-1307,-1308,-1308,-1309,-1309,-1310,-1310,-1311,-1311,-1312,-1312,-1313,-1313,-1314,-1314,-1315,-1315,-1316,-1316,-1317,-1318,-1318,-1314,-1317,-1319,-1319,-1326,-1326,-1328,-1328,-1330,-1330,-1331,-1331
StartDepth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.1,1,1,10,1,2.3,1,1,1.9,1,3.5,1,3.5,1,5.2,1,6.7,1,1,5.3,1,1,3.5,1,2.1,1,1.8,1,1.7,1,6.5,1,5,5,5,1,5,1,4.8,3.5,1,2.3,1,1,1,2.5,1,5,1,3.5,1,2.7,1,2
EndDepth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.1,1,1,10,1,2.3,1,1,1.9,1,3.5,1,3.5,1,5.2,1,6.7,1,1,5.3,1,1,3.5,1,2.1,1,1.8,1,1.7,1,6.5,1,5,5,5,1,5,1,4.8,3.5,1,2.3,1,1,1,2.5,1,5,1,3.5,1,2.7,1,2
Sounding,11.9,5.8,14.5,13.5,3.56,3.82,2.85,7.8,6.75,2.79,5,2.49,6.5,8.02,6.38,4.1,2,2.3,10,10,2.3,3.5,2.8,1.9,1.9,3.5,3.5,3.5,5.2,5.2,6.7,6.7,6.2,5.3,5.3,4.1,3.5,3.5,2.1,2.1,1.8,1.8,1.7,1.7,6.5,6.5,5,5,5,5,5,5,4.8,4.8,3.5,2.3,2.3,5,3.5,2.5,2.5,5,5,3.5,3.5,2.7,2.7,2,2
Analysis,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3
Collection,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
